"Institute","Institute_standardized"
"College of Marine Life Science Ocean University of China","Ocean University of China - College of Marine Life Sciences"
"Ocean Networks Canada","University of Victoria - Ocean Networks Canada"
"Individual","personal"
"Executive Environmnet Agency","Ministry of Environment and Water - Executive Environment Agency (ExEA)"
"Australian Antarctic Data Centre","Australian Antarctic Data Centre"
"Senckenberg Nature Research Society","Senckenberg Nature Research Society"
"Zoological Society of London","Zoological Society of London"
"Senckenberg Research Institute and Natural History Museum","Naturmuseum Senckenberg - Research Institute and Natural History Museum Frankfurt"
"Barcode of Life Datasystem (BOLD) - Centre for Biodiversity Genomics (CBG) ","Barcode of Life Data System (BOLDSystems)"
"Barcode of Life Datasystem (BOLD) - Centre for Biodiversity Genomics (CBG) ","Centre for Biodiversity Genomics (CBG)"
"European Bioinformatics Institute","EMBL (European Molecular Biology Laboratory) - EBI (European Bioinformatics Institute)"
"Eco Marine Consultants","Eco Marine Consultants"
" R/V Atlantis, and R/V Mirai Cruises.Scripps Institution of Oceanography","University of California, San Diego (UCSD) - Scripps Institution of Oceanography"
"Add-my-Pet portalÂ , Â Vrije Universiteit van Amsterdam","Add-my-Pet (AmP) "
"Base pour l'Inventaire des Observations Subaquatiques (BioObs), ","BioObs (Base pour l'inventaire des observations subaquatiques)"
"Biodata Mining Group,  Bielefeld University","Bielefeld University - Biodata Mining Group"
"Biodiversity Virtual e-Laboratory (BioVeL) Project,  Cardiff University","Cardiff University"
"Biological Information System for Marine Life (BISMaL), ","JAMSTEC (Japan Agency for Marine-Earth Science and Technology) - Biological Information System for Marine Life (BISMaL)"
"BlueBRIDGE, Â Italian National Research Council","BlueBRIDGE"
"Check the current taxonomic classification benthic surveys samples, Â Centre for Environment, Fisheries and Aquaculture Science","CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
"Citizen Science non profit group opistobranquis.infoÂ ,  VIMAR - Vida Marina ","VIMAR (Vida Marina)"
"Coral Reef Ecosystem Division (CRED),  NOAA","NOAA National Oceanic And Atmospheric Administration - Coral Reef Ecosystem Division (CRED)"
"CRITTERBASE project, Â Alfred Wegener Institute for Polar- and Marine Research","CRITTERBASE"
"DAERA.Marine taxon application (new version of UNICORN)Â , Â The Department of Agriculture, Environment and Rural Affairs","Northern Ireland Executive - Department of Agriculture, Environment and Rural Affairs (DAERA)"
"Data Publisher for Earth & Environmental Science (PANGAEA)Â , Â Centre for Marine Environmental Sciences","PANGAEA"
"DonnÃ©es d'Observations pour la Reconnaissance et l'Identification de la faune et de la flore Subaquatique (DORIS), ","Données d'Observations pour la Reconnaissance et l'Identification de la faune et la flore Subaquatiques (DORIS)"
"Ecopath with Ecosim (EwE),  University of British Columbia","University of British Columbia - Ecopath with Ecosim (EwE)"
"Encyclopedia of Life, Â Smithsonian Institution","Smithsonian Institution - Smithsonian National Museum of Natural History - Encyclopedia of Life (EOL)"
"Environmental Information Management (EIM) database,  Washington State Department of Ecology","Washington State Department of Ecology - Environmental Information Management (EIM) database"
"Foraminifera.eu Project, ","Foraminifera.eu"
"Global Biotic Interactions (GloBI), ","Global Biotic Interactions (GloBI)"
"Harbor Branch Oceanographic Institute,  Florida Atlantic University","Florida Atlantic University - Harbor Branch Oceanographic Institute"
"iMarine Project, ","iMarine"
"Information about non domestic animals keepingÂ ,  Base de DonnÃ©es des EspÃ¨ces Non Domestiques (BDEND)","Bases de données des espèces non-domestiques (BDEND)"
"Information system on Aquatic Non-Indigenous and Cryptogenic Species (AquaNIS), ","Information system on Aquatic Non-Indigenous and Cryptogenic Species (AquaNIS)"
"keep abreast with changes in the taxonomy, Â Institute for Marine Resources and Ecosystem Studies","IMARES - Wageningen Marine Research (WUR)"
"Keep the nomenclature up-to-date,  Natural History Collections of Tyrolean State Museum Ferdinandeum","Natural History Collections of Tyrolean State Museum Ferdinandeum"
"Marine Resource Modelling Group,  University of Strathclyde Dept. Mathematics and Statistics","University of Strathclyde - Department of Mathematics and Statistics - Marine Resource Modelling Group"
"Mikrotax.org - pforams,  University College London","University College London"
"MIT Sea Grant College Program, ","Massachusetts Institute of Technology (MIT) - Sea Grant College Program"
"National benthic database,  University of Bordeaux","University of Bordeaux - National benthic database"
"Nationalpark-Verwaltung NiedersÃ¤chsisches Wattenmeer,  Wilhelmshaven","Nationalpark Niedersächsisches Wattenmeer"
"Observation.org, ","Observation.org, "
"Opale Surfcasting, ","Opale Surfcasting"
"Open Tree of Life, ","Open Tree of Life"
"PAPARA(ZZ)I Annotation tool,  Alfred Wegener Institute","Alfred Wegener Institute for Polar and Marine Research (AWI) - PAPARA(ZZ)I Annotation tool"
"Pelagos & Assemble databases,  Station Biologique de Roscoff","Station Biologique de Roscoff"
"PhD on taxonomy of cyclopoida,  University of Baghdad","University of Baghdad"
"Referred to webservices - WoRMS data (through the Lifewatch Species Information Backbon) will be used for updating taxon names in the internal databases of the Cawthron Institute,  Cawthron Institute","Cawthron Institute"
"Resolve common names for Central & Northern California Ocean Observing System (CeNCOOS)Â , Â Research Institute","Central and Northern California Ocean Observing System (CeNCOOS)"
"Russell Renka - Shell List,  Southeast Missouri State University","Southeast Missouri State University"
"SeaDataNet,  IMARES Wageningen UR","IMARES - Wageningen Marine Research (WUR)"
"Specimen seashells,  Conchology Inc.","Conchology Inc."
"Sponge Barcoding Project, ","Sponge Barcoding Project (SBP)"
"strandvondsten.nl,  Utrecht","strandvondsten.nl"
"Taxonomical reference for encoders using the RBINS-collection databaseÂ , Â Operationele Directie Natuurlijk Milieu","RBINS Royal Belgian Institute of Natural Sciences (RBINS) - Directorate Natural Environment (OD Nature)"
"The Crab Database (crabdatabase.info), ","crabdatabase.info"
"Unified Taxonomic Information Service (UTIS)Â , Â Botanic Garden and Botanical Museum Berlin-Dahlem","Unified Taxonomic Information Service (UTIS)"
"Wikipedia FR, ","Wikipedia"
"WikiProject on Gastropods.Â ,  Wikipedia","Wikipedia"
"WoRMS data will be used as taxonomic backbone for a collection of underwater photos - uses webservices,  Personal application","personal"
"personal github repository","personal"
"Open Street Map Foundation","Open Street Map Foundation"
"International Atomic Energy Agency (IAEA)","International Atomic Energy Agency (IAEA)"
"S&P Global Inc.","S&P Global Inc."
"International Council on Clean Transportation","International Council on Clean Transportation (ICCT)"
"CRIMARIO2","CRIMARIO"
"EarthScope-Oceans","EarthScope-Oceans"
"Royal United Services Institute for Defence and Security Studies","Royal United Services Institute (RUSI)"
"Danish Defence Intelligence Service","Danish Defence Intelligence Service"
"Department of Agriculture, Forestry and Fisheries South Africa","South African government - Department of Agriculture, Forestry and Fisheries"
"European Maritime Safety Agency","European Maritime Safety Agency"
"Italian Navy Hydrographic Institute","Italian Navy - Hydrographic Institute"
"Korean Fisheries Monitoring Center","Korean government - Ministry of Oceans and Fisheries - Fisheries Monitoring Center (FMC)"
"Pacific Islands Forum Fisheries Agency","Pacific Islands Forum Fisheries Agency"
"UK Space Agency","UK Space Agency"
"US Department of Veterans Affairs","US Department of Veterans Affairs"
"Belgian Offshore Platform","Belgian Offshore Platform"
"IHS Markit","IHS Markit"
"Seas of Solutions","Seas of Solutions"
"Nautoshark","Nautoshark"
"NKT","NKT"
"OMV Group","OMV Group"
"PWC","PWC"
"ScanReach","ScanReach"
"Telstra","Telstra"
"Vickers Nolan Enterprises","Vickers & Nolan Enterprises, LLC (VNE)"
"Bloomberg","Bloomberg"
"Reuters","Reuters"
"The New York Times","The New York Times"
"personal emailadres","personal"
"Ugent, Faculty of Sciences, Departement of Biology, Terrestrial Ecology Unit","Ghent University - Faculty of Sciences - Biology Department - Terrestrial Ecology Unit (TEREC) "
"Ugent, Faculty of Sciences, Departement of Biology, Marine Biology Research group","Ghent University - Faculty of Sciences - Biology Department - Research Group Marine Biology (MARBIOL)"
"Uliege, TERRA Research centre","University of Liège - TERRA research centre"
"Uantwerpen, Department of Biology, Behavioural Ecology and Eco-Physiology Group","University of Antwerp - Faculty of Science - Department of Biology - Behavioural Ecology and Ecophysiology (BECO)"
"UniversitÃ© Libre De Bruxelles, Marine Biology Lab","Free University of Brussels (VUB) - Faculty of Sciences and Bioengineering Sciences - Biology Department - Ecology And Biodiversity Research Group - Marine Biology Laboratory"
"FWO","Research Foundation – Flanders"
"fwo","Research Foundation – Flanders"
"Ugent, Falculty of Bioscience Engineering, Department of Animal Sciences and Aquatic Ecology, GhEnToxLab","Ghent University - Faculty of Bioscience Engineering - Department of Animal sciences and aquatic ecology - Environmental Toxicology Unit (GhEnToxLab)"
"project(!) - De Rijke Noordzee - samen werking tussen Stichting De Noordzee en Natuur En Milieu  - Eline verbonden aan Stichting De Noordzee","De Rijke Noordzee"
"De Rijke Noordzee","De Rijke Noordzee"
"derijkenoordzee","De Rijke Noordzee"
"European Space Agency","European Space Agency"
"project(!) - De Rijke Noordzee - samen werking tussen Stichting De Noordzee en Natuur En Milieu","Natuur En Milieu"
"KULeuven, Department of Biology, Ecology, Evolution and Biodiversity Conservation Section; Laboratorium voor Biodiversiteit en Evolutionaire Genomica (LBEG)","Catholique University of Louvain - Laboratory of Biodiversity and Evolutionary Genomics (LBEG)"
"Brazilian Government Ministry of Agriculture Livestock and Food supply","Brazilian Government, Ministry of Agriculture, Livestock and Food supply"
"Brazilian Government, Ministry of Agriculture, Livestock and Food supply, Brazilian Agricultural Research Corporation","Brazilian Government, Ministry of Agriculture, Livestock and Food supply, Brazilian Agricultural Research Corporation"
"Brazilian Agricultural Research Corporation (EMBRAPA)","Brazilian Government, Ministry of Agriculture, Livestock and Food supply, Brazilian Agricultural Research Corporation"
"Swedish University of Agricultural Sciences (SLU), Department of Wildlife, Fish and Environmental Studies","Swedish University of Agricultural Sciences (SLU)"
"Ugent, Departement of of Animal Science and Aquatic Ecology, Aquatic Ecology (AECO)","Ghent University - Faculty of Bioscience Engineering - Department of Animal Science and Aquatic Ecology"
"Ugent, Faculty of Bioscience Engineering, Departement of Data analysis and mathematical modelling","Ghent University - Faculty of Bioscience Engineering - Department of Data Analysis and Mathematical Modelling - BIOMATH"
"Wageningen University & Research, Wageningen Marine Research","Wageningen University & Research (WUR)"
"Uhasselt, Faculty of Sciences, Department of Biology and Geology, Researchgroup of Zooloy: Biodiversity and Toxicology, Research Centre for Envronmental Sciences","Hasselt University - Centre for Environmental Sciences (CMK) - Research Centre for Envronmental Sciences"
"UniversitÃ© Catholique de Louvain, Department of Sciences and Technology, Earth and Life Institute, Environmental Sciences","Catholique University of Louvain - Earth and Life Institute (ELI)"
"Ugent, Faculty of Verterinary Medicine, Department of Virology, parasitology and immunology","Ghent University - Faculty of Verterinary Medicine - Department of Virology, parasitology and immunology"
"Uhasselt, Faculty of Sciences, Department of Biology and Geology, Research group of Environmental Biology, Researh Centre for Environmental Sciences","Hasselt University - Centre for Environmental Sciences (CMK)"
"Australia National University, Research School of Earth Sciences","Australian National University - Research school of Earth Sciences"
"cefas","CEFAS (Centre for Environment, Fisheries and Aquaculture Science)"
"MDA","Marine Data Archive (MDA)"
"Field Studies Council","Field Studies Council"
"France Energie Marines","France Energie Marines"
"Geoinformatics Solutions","Geoinformatics Solutions"
"HiDef Environmental Consultancy","HiDef Environmental Consultancy"
"Início Escola Superior Náutica Infante D. Henrique","Início Escola Superior Náutica Infante D. Henrique"
"Institute of Agrifood Research and Technology (IRTA)","Institute of Agrifood Research and Technology (IRTA)"
"Institute of Biology Leiden - Instituut Biologie Leiden (IBL)","Instituut Biologie Leiden (IBL)"
"Israel Oceanographic & Limnological Research","Israel Oceanographic & Limnological Research"
"Marine Ecology and Telemetry Research","Marine Ecology and Telemetry Research"
"Météo-France","Météo-France"
"Morant Wright Japan Income Trust Ltd Fund","Morant Wright Japan Income Trust Ltd Fund"
"National Centre For Scientific Research - Institute of Informatics and Telecommunications","National Centre For Scientific Research - Institute of Informatics and Telecommunications"
"Natural Resources Wales","Natural Resources Wales"
"Norwegian Research Centre","Norwegian Research Centre"
"Pelagia Nature & Environment AB","Pelagia Nature & Environment AB"
"Politecnico di Torino","Polytechnic University of Turin "
"Polytechnic University of Valencia (UPV) - Department of Animal Science","Polytechnic University of Valencia (UPV) - Department of Animal Science"
"Profish Technology","Profish Technology"
"RUCO Limited","RUCO Limited"
"Star-Oddi","Star-Oddi"
"State University of New York at Fredonia","State University of New York at Fredonia"
"Scottish Government","Scottish Government"
"TotalEnergies","TotalEnergies"
"Tractebel ENGIE","Tractebel ENGIE"
"University of Montreal","University of Montreal"
"University of Silesia","University of Silesia"
"University of Tuscia","University of Tuscia"
"University of Exeter","University of Exeter"
"Vinga Konstruktion AB","Vinga Konstruktion AB"
"Umweltbundesamt GmbH","Umweltbundesamt GmbH"
"Ocean Data Platform","Ocean Data Platform"
"Wroclaw University of Environmental and Life Sciences","Wroclaw University of Environmental and Life Sciences"
"IT University of Copenhagen","IT University of Copenhagen"
"National Institute for Marine Research and Development â€œGrigore Antipaâ€œ","National Institute for Marine Research and Development (Grigore Antipa)"
"University of Canterbury","University of Canterbury"
"Institute for Aquatic Ecology & Fisheries Biology (IGF) Jena","Institute for Aquatic Ecology & Fisheries Biology (IGF) Jena"
"Voyager","Voyager"
"SAGA","SAGA"
"Ophir","Ophir"
"Oralia Maritime","Oralia Maritime"
"MAAS","MAAS"
"Lighthouse","Lighthouse"
"CLS","CLS"
"CGG","CGG"
"Project Drawdown","Project Drawdown"
"Validate taxonomy of their marine species  Government Department of Conservation Services","Validate taxonomy of their marine species  Government Department of Conservation Services"
"Update taxonomyÂ   Diving Canary Islands","Update taxonomy - Diving Canary Islands"
"Gaiaguide ","Gaiaguide "
